id,Vrid,group,flag_name,value
C2059237628,285,core_suspicious,multiple_responses,3
1056716859,444,core_suspicious,multiple_responses,3
C2059843393,467,core_suspicious,multiple_responses,3
1090290674,507,core_suspicious,multiple_responses,3
C2059843393,537,core_suspicious,multiple_responses,3
1003534422,612,core_suspicious,multiple_responses,3
1003534422,613,core_suspicious,multiple_responses,3
1090290674,649,core_suspicious,multiple_responses,3
C2061078027,650,core_suspicious,multiple_responses,3
C2061581250,780,core_suspicious,multiple_responses,3
1056716859,787,core_suspicious,multiple_responses,3
1187417571,894,core_suspicious,multiple_responses,3
1187417571,902,core_suspicious,multiple_responses,3
1101263914,944,core_suspicious,multiple_responses,3
1101263914,945,core_suspicious,multiple_responses,3
,984,core_suspicious,multiple_responses,3
1187417571,995,core_suspicious,multiple_responses,3
C2067153579,1024,core_suspicious,multiple_responses,3
C2067153579,1029,core_suspicious,multiple_responses,3
C2061078027,1042,core_suspicious,multiple_responses,3
C2067374038,1049,core_suspicious,multiple_responses,3
C2067374038,1050,core_suspicious,multiple_responses,3
,1087,core_suspicious,multiple_responses,3
1154177130,1100,core_suspicious,multiple_responses,3
1154177130,1101,core_suspicious,multiple_responses,3
C2061581250,1119,core_suspicious,multiple_responses,3
C2059237628,1192,core_suspicious,multiple_responses,3
C2059748281,434,core_suspicious,all_activities,1
C2060595931,617,core_suspicious,all_activities,1
C2061073878,647,core_suspicious,all_activities,1
C2065980915,969,core_suspicious,all_activities,1
C2061483313,763,core_suspicious,all_basins,1
C2061913834,792,core_suspicious,all_basins,1
C2066919131,1001,core_suspicious,all_basins,1
C2063959293,900,core_suspicious,high_days,1
C2067159333,1030,core_suspicious,high_days,1
C2059736965,425,core_suspicious,high_sum_days,1
C2067159333,1030,core_suspicious,high_sum_days,1
